State,Average Income,Year,,,,,,,,,,,,
Virginia,401684.3,2013,,,,,,,,,,,,
Washington,333763.675,2013,,,,,,,,,,,,
West Virginia,65572.775,2013,,,,,,,,,,,,
Wisconsin,247847.35,2013,,,,,,,,,,,,
Wyoming,31240.075,2013,,,,,,,,,,,,
Alabama,181078.75,2014,,,,,,,,,,,,
Alaska,41209.975,2014,,,,,,,,,,,,
Arizona,257272.3,2014,,,,,,,,,,,,
Arkansas,114743.325,2014,,,,,,,,,,,,
California,1980736.85,2014,,,,,,,,,,,,
Colorado,271410.15,2014,,,,,,,,,,,,
Connecticut,236756.575,2014,,,,,,,,,,,,
Delaware,43031.625,2014,,,,,,,,,,,,
District of Columbia,46780.25,2014,,,,,,,,,,,,
Florida,861412.35,2014,,,,,,,,,,,,
Georgia,402790.925,2014,,,,,,,,,,,,
Hawaii,66036.675,2014,,,,,,,,,,,,
Idaho,61801.375,2014,,,,,,,,,,,,
Illinois,638639.975,2014,,,,,,,,,,,,
Indiana,272244.95,2014,,,,,,,,,,,,
Iowa,139531.3,2014,,,,,,,,,,,,
Kansas,136878.725,2014,,,,,,,,,,,,
Kentucky,166717.075,2014,,,,,,,,,,,,
Louisiana,200293.925,2014,,,,,,,,,,,,
Maine,55863.575,2014,,,,,,,,,,,,
Maryland,322438.175,2014,,,,,,,,,,,,
Massachusetts,401832.5,2014,,,,,,,,,,,,
Michigan,411019.825,2014,,,,,,,,,,,,
Minnesota,273487.975,2014,,,,,,,,,,,,
Mississippi,104255.475,2014,,,,,,,,,,,,
Missouri,254317.45,2014,,,,,,,,,,,,
Montana,43555.75,2014,,,,,,,,,,,,
Nebraska,92524.05,2014,,,,,,,,,,,,
Nevada,117372.225,2014,,,,,,,,,,,,
New Hampshire,70501.225,2014,,,,,,,,,,,,
New Jersey,515515.075,2014,,,,,,,,,,,,
New Mexico,77975.075,2014,,,,,,,,,,,,
New York,1105907.825,2014,,,,,,,,,,,,
North Carolina,398099.525,2014,,,,,,,,,,,,
North Dakota,42819.625,2014,,,,,,,,,,,,
Ohio,498894.55,2014,,,,,,,,,,,,
Oklahoma,180468.975,2014,,,,,,,,,,,,
Oregon,167077.325,2014,,,,,,,,,,,,
Pennsylvania,619079.375,2014,,,,,,,,,,,,
Rhode Island,50646.175,2014,,,,,,,,,,,,
South Carolina,182832.65,2014,,,,,,,,,,,,
South Dakota,40252.225,2014,,,,,,,,,,,,
Tennessee,267288.75,2014,,,,,,,,,,,,
Texas,1274636.85,2014,,,,,,,,,,,,
Utah,112620.175,2014,,,,,,,,,,,,
Vermont,30195.925,2014,,,,,,,,,,,,
Virginia,419329.6,2014,,,,,,,,,,,,
Washington,359690.65,2014,,,,,,,,,,,,
West Virginia,67764.375,2014,,,,,,,,,,,,
Wisconsin,258347.75,2014,,,,,,,,,,,,
Wyoming,33549.35,2014,,,,,,,,,,,,
Alabama,189115.475,2015,,,,,,,,,,,,
Alaska,42555.1,2015,,,,,,,,,,,,
Arizona,270815.525,2015,,,,,,,,,,,,
Arkansas,118719.5,2015,,,,,,,,,,,,
California,2125430.325,2015,,,,,,,,,,,,
Colorado,284836.825,2015,,,,,,,,,,,,
Connecticut,243164.6,2015,,,,,,,,,,,,
Delaware,45216.125,2015,,,,,,,,,,,,
